ticket_id,user_id,date,total_amount,store_location
T000000,U0000,2024-09-13,34.7,Mercadona Valencia
T000001,U0000,2024-10-09,31.4,Mercadona Valencia
T000002,U0000,2024-11-04,29.8,Mercadona Valencia
T000003,U0000,2024-12-01,20.9,Mercadona Valencia
T000004,U0000,2024-12-27,22.0,Mercadona Valencia
T000005,U0000,2025-01-23,29.1,Mercadona Valencia
T000006,U0000,2025-02-18,31.0,Mercadona Valencia
T000007,U0000,2025-03-17,32.1,Mercadona Valencia
T000008,U0000,2025-04-12,9.7,Mercadona Valencia
T000009,U0000,2025-05-08,31.9,Mercadona Valencia
T000010,U0000,2025-06-04,25.5,Mercadona Valencia
T000011,U0000,2025-06-30,29.8,Mercadona Valencia
T000012,U0000,2025-07-27,38.4,Mercadona Valencia
T000013,U0000,2025-08-22,28.0,Mercadona Valencia
T000014,U0000,2025-09-18,31.4,Mercadona Valencia
T000015,U0000,2025-10-14,40.8,Mercadona Valencia
T000016,U0001,2024-08-12,20.4,Mercadona Madrid
T000017,U0001,2024-09-03,34.8,Mercadona Madrid
T000018,U0001,2024-09-26,10.5,Mercadona Madrid
T000019,U0001,2024-10-19,44.1,Mercadona Madrid
T000020,U0001,2024-11-11,15.9,Mercadona Madrid
T000021,U0001,2024-12-03,17.4,Mercadona Madrid
T000022,U0001,2024-12-26,17.4,Mercadona Madrid
T000023,U0001,2025-01-18,40.5,Mercadona Madrid
T000024,U0001,2025-02-10,63.6,Mercadona Madrid
T000025,U0001,2025-03-04,49.8,Mercadona Madrid
T000026,U0001,2025-03-27,30.3,Mercadona Madrid
T000027,U0001,2025-04-19,50.7,Mercadona Madrid
T000028,U0001,2025-05-12,51.6,Mercadona Madrid
T000029,U0001,2025-06-03,29.4,Mercadona Madrid
T000030,U0001,2025-06-26,56.4,Mercadona Madrid
T000031,U0001,2025-07-19,17.1,Mercadona Madrid
T000032,U0001,2025-08-11,46.2,Mercadona Madrid
T000033,U0001,2025-09-02,48.9,Mercadona Madrid
T000034,U0001,2025-09-25,36.0,Mercadona Madrid
T000035,U0001,2025-10-18,26.1,Mercadona Madrid
T000036,U0002,2025-05-20,81.7,Mercadona Bilbao
T000037,U0002,2025-06-06,71.0,Mercadona Bilbao
T000038,U0002,2025-06-23,30.0,Mercadona Bilbao
T000039,U0002,2025-07-11,54.4,Mercadona Bilbao
T000040,U0002,2025-07-28,91.7,Mercadona Bilbao
T000041,U0002,2025-08-15,48.95,Mercadona Bilbao
T000042,U0002,2025-09-01,28.7,Mercadona Bilbao
T000043,U0002,2025-09-18,92.9,Mercadona Bilbao
T000044,U0002,2025-10-06,128.25,Mercadona Bilbao
T000045,U0002,2025-10-23,34.05,Mercadona Bilbao
T000046,U0003,2025-09-16,25.7,Mercadona Sevilla
T000047,U0003,2025-09-19,104.15,Mercadona Sevilla
T000048,U0003,2025-09-22,43.6,Mercadona Sevilla
T000049,U0003,2025-09-25,54.5,Mercadona Sevilla
T000050,U0003,2025-09-28,42.0,Mercadona Sevilla
T000051,U0003,2025-10-01,71.65,Mercadona Sevilla
T000052,U0003,2025-10-04,17.7,Mercadona Sevilla
T000053,U0003,2025-10-07,57.9,Mercadona Sevilla
T000054,U0003,2025-10-10,82.9,Mercadona Sevilla
T000055,U0003,2025-10-13,86.85,Mercadona Sevilla
T000056,U0003,2025-10-16,90.75,Mercadona Sevilla
T000057,U0003,2025-10-19,71.65,Mercadona Sevilla
T000058,U0003,2025-10-22,40.6,Mercadona Sevilla
T000059,U0003,2025-10-25,68.0,Mercadona Sevilla
T000060,U0003,2025-10-28,115.7,Mercadona Sevilla
T000061,U0003,2025-10-31,122.2,Mercadona Sevilla
T000062,U0003,2025-11-03,104.2,Mercadona Sevilla
T000063,U0003,2025-11-06,127.75,Mercadona Sevilla
T000064,U0004,2024-02-06,34.0,Mercadona Valencia
T000065,U0004,2024-03-17,35.6,Mercadona Valencia
T000066,U0004,2024-04-26,7.8,Mercadona Valencia
T000067,U0004,2024-06-05,34.4,Mercadona Valencia
T000068,U0004,2024-07-15,10.9,Mercadona Valencia
T000069,U0004,2024-08-24,37.5,Mercadona Valencia
T000070,U0004,2024-10-04,13.2,Mercadona Valencia
T000071,U0004,2024-11-13,30.9,Mercadona Valencia
T000072,U0004,2024-12-23,41.5,Mercadona Valencia
T000073,U0004,2025-02-01,18.5,Mercadona Valencia
T000074,U0004,2025-03-13,31.5,Mercadona Valencia
T000075,U0004,2025-04-23,44.2,Mercadona Valencia
T000076,U0004,2025-06-02,23.4,Mercadona Valencia
T000077,U0004,2025-07-12,22.1,Mercadona Valencia
T000078,U0004,2025-08-21,39.4,Mercadona Valencia
T000079,U0004,2025-09-30,21.9,Mercadona Valencia
T000080,U0005,2024-01-07,53.4,Mercadona Bilbao
T000081,U0005,2024-02-13,52.8,Mercadona Bilbao
T000082,U0005,2024-03-21,25.2,Mercadona Bilbao
T000083,U0005,2024-04-28,16.2,Mercadona Bilbao
T000084,U0005,2024-06-04,53.4,Mercadona Bilbao
T000085,U0005,2024-07-11,48.0,Mercadona Bilbao
T000086,U0005,2024-08-18,31.5,Mercadona Bilbao
T000087,U0005,2024-09-24,37.2,Mercadona Bilbao
T000088,U0005,2024-11-01,42.3,Mercadona Bilbao
T000089,U0005,2024-12-08,30.6,Mercadona Bilbao
T000090,U0005,2025-01-14,41.4,Mercadona Bilbao
T000091,U0005,2025-02-21,31.2,Mercadona Bilbao
T000092,U0005,2025-03-30,37.8,Mercadona Bilbao
T000093,U0005,2025-05-07,55.2,Mercadona Bilbao
T000094,U0005,2025-06-13,18.9,Mercadona Bilbao
T000095,U0005,2025-07-20,28.2,Mercadona Bilbao
T000096,U0005,2025-08-27,15.3,Mercadona Bilbao
T000097,U0005,2025-10-03,57.6,Mercadona Bilbao
T000098,U0006,2024-07-27,23.0,Mercadona Bilbao
T000099,U0006,2024-09-01,48.3,Mercadona Bilbao
T000100,U0006,2024-10-07,39.8,Mercadona Bilbao
T000101,U0006,2024-11-12,48.9,Mercadona Bilbao
T000102,U0006,2024-12-18,26.4,Mercadona Bilbao
T000103,U0006,2025-01-24,26.4,Mercadona Bilbao
T000104,U0006,2025-03-01,41.9,Mercadona Bilbao
T000105,U0006,2025-04-06,38.0,Mercadona Bilbao
T000106,U0006,2025-05-12,40.6,Mercadona Bilbao
T000107,U0006,2025-06-18,27.9,Mercadona Bilbao
T000108,U0006,2025-07-24,59.8,Mercadona Bilbao
T000109,U0006,2025-08-29,31.9,Mercadona Bilbao
T000110,U0006,2025-10-04,43.0,Mercadona Bilbao
T000111,U0007,2025-07-07,23.8,Mercadona Sevilla
T000112,U0007,2025-07-18,50.9,Mercadona Sevilla
T000113,U0007,2025-07-29,50.0,Mercadona Sevilla
T000114,U0007,2025-08-10,45.5,Mercadona Sevilla
