video_id,nicho_tribu,titulo,hashtags,url_video,fecha_publicacion,vistas,likes,comentarios
V00001,Eco-Friendly,Mi Compra a Granel,"#sostenible, #productosverdes, #recetasfaciles",https://www.tiktok.com/@eco_hacks/video/704303487387178149,2025-10-18 12:10:08,13299,945,130
V00002,Eco-Friendly,Productos Zero Waste de Mercadona,"#zerowaste, #ecofriendly, #mercadona, #hacendado",https://www.tiktok.com/@eco_hacks/video/704658877421337404,2025-11-07 12:10:08,11115,550,32
V00003,Familia Numerosa,Recetas de Pasta que Encantan a Todos,"#recetasencasa, #organizacion, #familia, #comprasemanal",https://www.tiktok.com/@misfamiliafood/video/770425735070980264,2025-09-05 12:10:08,13964,515,59
V00004,Gourmet/Premium,Ideas para una Cena Romántica Premium,"#aove, #jamon, #recetapremium, #delicatessen, #mercadona",https://www.tiktok.com/@gourmet_reviews/video/780298610543706707,2025-05-28 12:10:08,10533,619,59
V00005,Gym Enthusiast,Receta Post-Entreno Proteica,"#gymtok, #volumen, #proteina, #mercadona, #recetasfaciles",https://www.tiktok.com/@gymfoodie/video/755966753164103731,2025-10-16 12:10:08,135685,7540,718
V00006,Eco-Friendly,Productos Zero Waste de Mercadona,"#zerowaste, #sostenible, #productosverdes, #ecofriendly, #mercadona, #hacendado",https://www.tiktok.com/@eco_hacks/video/750760781637183135,2025-09-25 12:10:08,41719,1106,71
V00007,Eco-Friendly,Alternativas Sostenibles en el Baño,"#ecofriendly, #plasticfree, #productosverdes, #mercadona, #hacendado",https://www.tiktok.com/@eco_hacks/video/753510960858783600,2025-10-30 12:10:08,47848,2409,356
V00008,Gourmet/Premium,Catando el Queso Manchego Curado,"#jamon, #cata, #mercadona",https://www.tiktok.com/@gourmet_reviews/video/786104553429998029,2025-05-30 12:10:08,32667,2230,332
V00009,Familia Numerosa,Compra Mensual en Mercadona (MAXI CESTA),"#organizacion, #familia, #granel, #comprasemanal, #mercadona",https://www.tiktok.com/@misfamiliafood/video/702742431831062861,2025-11-04 12:10:08,40472,1304,85
V00010,Eco-Friendly,Mi Compra a Granel,"#bio, #plasticfree, #productosverdes",https://www.tiktok.com/@eco_hacks/video/732624559485510615,2025-11-09 12:10:08,41589,2381,157
V00011,Vegano,Alternativas Vegetales TOP en el Súper,"#tofu, #singluten, #mercadona, #hacendado",https://www.tiktok.com/@veganlife_es/video/761448426086510882,2025-05-20 12:10:08,99816,5982,587
V00012,Eco-Friendly,Alternativas Sostenibles en el Baño,"#bio, #ecofriendly, #recetasfaciles",https://www.tiktok.com/@eco_hacks/video/741718628161287761,2025-09-10 12:10:08,49812,3769,305
V00013,Gym Enthusiast,La Mejor Proteína Barata de Hacendado,"#gymtok, #volumen, #mercadona, #hacendado",https://www.tiktok.com/@gymfoodie/video/735860647788202056,2025-06-27 12:10:08,77244,5726,530
V00014,Conveniente/Express,Tuppers de la Semana para Solteros,"#soltero, #express, #rapido, #comidapreparada, #mercadona",https://www.tiktok.com/@quickmeals_es/video/745995016162914998,2025-08-26 12:10:08,37442,1164,72
V00015,Eco-Friendly,Mi Compra a Granel,"#zerowaste, #ecofriendly, #mercadona, #recetasfaciles",https://www.tiktok.com/@eco_hacks/video/779022706982648761,2025-10-07 12:10:08,18887,1065,150
V00016,Familia Numerosa,Tuppers para Toda la Semana Familiar,"#granel, #recetasencasa, #packahorro, #mercadona",https://www.tiktok.com/@misfamiliafood/video/739770483190892556,2025-09-16 12:10:08,21796,439,61
V00017,Celíaco/Intolerancias,Pan Sin Gluten que Sabe a Pan Real,"#intolerancia, #celiaco, #sinlactosa, #glutenfree, #mercadona",https://www.tiktok.com/@celiaco_reviews/video/710210684708875475,2025-11-02 12:10:08,49394,1330,196
V00018,Eco-Friendly,Mi Compra a Granel,"#plasticfree, #ecofriendly, #productosverdes, #sostenible, #hacendado",https://www.tiktok.com/@eco_hacks/video/784632835857349137,2025-07-15 12:10:08,18925,1088,134
