video_id,nicho_tribu,producto_mercadona,titulo,hashtags,url_video,fecha_publicacion,vistas,likes,comentarios
V00001,Eco-Friendly,Bolsas Reutilizables Fruta,Mi Compra a Granel,"#zerowaste, #bio, #hacendado",https://www.tiktok.com/@eco_hacks/video/752511352629686946,2025-09-08 14:04:48,14161,339,32
V00002,Vegano,Tofu Ecológico Hacendado,Postres Veganos Ricos y Rápidos,"#singluten, #vegano, #recetasveganas, #hacendado",https://www.tiktok.com/@veganlife_es/video/752296902411377004,2025-08-15 14:04:48,88466,4967,699
V00003,Conveniente/Express,Ensalada Completa Lista para Comer,Tuppers de la Semana para Solteros,"#rapido, #soltero, #express, #mercadona",https://www.tiktok.com/@quickmeals_es/video/739342548103163355,2025-08-13 14:04:48,186692,13860,2045
V00004,Vegano,Bebida de Avena BIO,Alternativas Vegetales TOP en el Súper,"#plantbased, #singluten, #mercadona",https://www.tiktok.com/@veganlife_es/video/747722817777476544,2025-05-30 14:04:48,42364,2796,281
V00005,Eco-Friendly,Champú Sólido,Productos Zero Waste de Mercadona,"#ecofriendly, #sostenible, #bio, #plasticfree, #mercadona",https://www.tiktok.com/@eco_hacks/video/789718547631105682,2025-06-23 14:04:48,37452,924,112
V00006,Vegano,Tofu Ecológico Hacendado,Postres Veganos Ricos y Rápidos,"#vegano, #mercadona, #tofu, #mercadona",https://www.tiktok.com/@veganlife_es/video/709140583962483142,2025-05-16 14:04:48,57448,2987,265
V00007,Conveniente/Express,Ensalada Completa Lista para Comer,Cena por Menos de 5€ y en 5 Minutos,"#soltero, #express, #cenafacil",https://www.tiktok.com/@quickmeals_es/video/794316766077237613,2025-08-24 14:04:48,249290,15954,1628
V00008,Gym Enthusiast,Crema de Cacahuete Natural,Receta Post-Entreno Proteica,"#proteina, #fitness, #volumen, #gymtok, #mercadona, #hacendado, #cremadecacahuetenatural",https://www.tiktok.com/@gymfoodie/video/749856798903586210,2025-07-24 14:04:48,58820,1470,208
V00009,Conveniente/Express,Tortilla de Patatas Envasada,Platos Preparados que Valen la Pena,"#express, #rapido, #comidapreparada, #soltero, #mercadona, #hacendado, #tortilladepatatasenvasada",https://www.tiktok.com/@quickmeals_es/video/777264268804343277,2025-09-07 14:04:48,97428,4332,314
V00010,Gym Enthusiast,Barrita de Proteínas (Sabor Varios),Receta Post-Entreno Proteica,"#recetasfit, #proteina",https://www.tiktok.com/@gymfoodie/video/740308708172723111,2025-11-03 14:04:48,66410,3498,513
V00011,Conveniente/Express,Lasaña de Carne Refrigerada,Platos Preparados que Valen la Pena,"#express, #rapido, #cenafacil, #ahorratiempo, #mercadona",https://www.tiktok.com/@quickmeals_es/video/797147869505056249,2025-06-25 14:04:48,112311,5192,691
V00012,Eco-Friendly,Bolsas Reutilizables Fruta,Mi Compra a Granel,"#sostenible, #zerowaste, #ecofriendly, #hacendado",https://www.tiktok.com/@eco_hacks/video/710283006534897048,2025-06-26 14:04:48,30291,1824,203
V00013,Vegano,Tofu Ecológico Hacendado,Tofu Revuelto Épico,"#plantbased, #mercadona, #mercadona, #hacendado",https://www.tiktok.com/@veganlife_es/video/717512202191631882,2025-05-30 14:04:48,36756,2067,185
V00014,Gym Enthusiast,Barrita de Proteínas (Sabor Varios),La Mejor Proteína Barata de Hacendado,"#gymtok, #fitness, #mercadona, #hacendado",https://www.tiktok.com/@gymfoodie/video/775907778452151704,2025-09-30 14:04:48,36940,1073,138
